SITE_ID,Latitude,Longitude,corr_uncorr_type,r2,MAE,MBE
SLM001,38.289,-121.118,Uncorrected,0.9417450834480919,41.5804033672419,-41.5804033672419
SLM001,38.289,-121.118,Corrected,0.954064279208035,20.50872920466695,-20.505935065839704
US-Mj1,46.99475,-109.61375,Uncorrected,1.0,23.46687215673897,-23.46687215673897
US-Mj1,46.99475,-109.61375,Corrected,1.0,13.825890303730695,-13.825890303730695
US-KLS,38.7745,-97.5684,Uncorrected,0.9522138810883864,23.985389915905728,-23.985389915905728
US-KLS,38.7745,-97.5684,Corrected,0.9067074841918007,16.1274642489736,-14.81872339328362
Ellendale,29.633321,-90.827662,Uncorrected,0.7738872504302053,17.626056597842247,15.830122624744751
Ellendale,29.633321,-90.827662,Corrected,0.8118070554677251,36.67557724172487,36.67557724172487
US-Br3,41.97472,-93.69357,Uncorrected,0.9259665493904866,34.21015150199947,-34.21015150199947
US-Br3,41.97472,-93.69357,Corrected,0.9221051008867854,19.759938400515868,-19.281690548170662
US-OF1,35.7370669999999,-90.0492,Uncorrected,0.99379902195543,30.470428485761843,-30.470428485761843
US-OF1,35.7370669999999,-90.0492,Corrected,0.8666311915882784,10.337094802747925,-10.337094802747925
BAR012,38.751,-122.975,Uncorrected,0.9243213941720158,54.153305528465395,-54.153305528465395
BAR012,38.751,-122.975,Corrected,0.9533345507514732,14.717537920992523,-13.567591480602019
US-Ro1,44.7143,-93.0898,Uncorrected,0.9170662496916955,18.86000631830254,-18.64815791950913
US-Ro1,44.7143,-93.0898,Corrected,0.9399031496091158,8.760899735132488,-3.460798742715836
RIP760,36.839,-120.21,Uncorrected,0.9096328747191322,65.49909079146659,-65.49909079146659
RIP760,36.839,-120.21,Corrected,0.9267311714667374,42.69509058785713,-42.69509058785713
US-OF4,35.734346,-90.037982,Uncorrected,,25.92992776821177,-25.92992776821177
US-OF4,35.734346,-90.037982,Corrected,,1.5299262423328628,-1.5299262423328628
Almond_Low,36.946608,-120.10237,Uncorrected,0.9601954195484872,40.25830994853803,-40.25830994853803
Almond_Low,36.946608,-120.10237,Corrected,0.9655633306157064,21.566167058820945,-21.527540600851992
US-Ro5,44.691,-93.0576,Uncorrected,0.9877088289474453,11.535583694617246,-11.449929864122554
US-Ro5,44.691,-93.0576,Corrected,0.9908310869840552,4.136868562037781,1.3370830596927366
US-Bi2,38.109,-121.535,Uncorrected,0.9542931729083802,13.497584134000984,-8.985686986705002
US-Bi2,38.109,-121.535,Corrected,0.9746382973165767,8.314446363911047,5.862797912353486
US-xSL,40.4619,-103.0293,Uncorrected,1.0,7.638838348242722,-7.638838348242722
US-xSL,40.4619,-103.0293,Corrected,1.0,9.488838416788068,-9.488838416788068
Almond_High,36.169669,-120.201004,Uncorrected,0.9841946404899107,24.74870242655204,-24.335574775475752
Almond_High,36.169669,-120.201004,Corrected,0.983563391671303,30.00849174258708,-30.00849174258708
US-AR1,36.4267,-99.42,Uncorrected,0.9783444691048226,18.909190477506176,-18.819456343749586
US-AR1,36.4267,-99.42,Corrected,0.9781691156487193,17.334089064420983,-16.82132618258339
US-Ro2,44.7288,-93.0888,Uncorrected,0.9852494808479204,9.496711165020752,-9.495885766412545
US-Ro2,44.7288,-93.0888,Corrected,0.9867374751371712,5.930905644692526,5.302431440578281
US-Tw2,38.1047,-121.6433,Uncorrected,0.9574534106435896,18.422840758613724,-15.042409527209337
US-Tw2,38.1047,-121.6433,Corrected,0.9632888087683854,13.322869636401846,-6.006319749262866
US-Dk1,35.9712,-79.09338,Uncorrected,0.9912184095797221,27.020434024923798,-27.020434024923798
US-Dk1,35.9712,-79.09338,Corrected,0.9900171204673135,4.859400740951768,-2.997954609983907
US-Twt,38.1087203999999,-121.6531,Uncorrected,0.9542336177760545,13.65727067213099,-8.670916883418036
US-Twt,38.1087203999999,-121.6531,Corrected,0.962161442460885,9.139412563750316,-1.9168021915781912
US-Bi1,38.0991537999999,-121.49933,Uncorrected,0.9780630489053549,11.87816538076089,-10.66344117179649
US-Bi1,38.0991537999999,-121.49933,Corrected,0.9863794203030137,5.899676714984114,2.1468153066995956
US-Ro6,44.6946,-93.05776,Uncorrected,0.9935089083567163,7.155274861013286,-7.065215675984362
US-Ro6,44.6946,-93.05776,Corrected,0.9872013843337566,6.040443317082768,5.51959439194267
US-Br1,41.9749,-93.6906,Uncorrected,0.9339276782991826,34.95465951484299,-34.95465951484299
US-Br1,41.9749,-93.6906,Corrected,0.9338676514669506,20.552041461368972,-20.481343136495767
US-OF6,35.729972,-90.0403329999999,Uncorrected,0.9170130758652268,15.660821071496827,-15.660821071496827
US-OF6,35.729972,-90.0403329999999,Corrected,0.14570892529013785,8.056464769355424,0.47251308835425715
US-Mj2,46.9957,-109.6295,Uncorrected,0.9999999999999996,6.93678634618,3.3469525219595795
US-Mj2,46.9957,-109.6295,Corrected,0.9999999999999998,9.872750604311264,9.872750604311264
Almond_Med,36.177669,-120.202644999999,Uncorrected,0.9868573385020453,27.798010667248995,-27.69710538286922
Almond_Med,36.177669,-120.202644999999,Corrected,0.9861377665562961,33.15932763151617,-33.15932763151617
US-Tw3,38.1159,-121.6467,Uncorrected,0.9838358968782037,8.004531282718332,-5.25018904294048
US-Tw3,38.1159,-121.6467,Corrected,0.9836194218607871,8.61661194349936,3.9587650429658616
US-Bo1,40.0062,-88.2904,Uncorrected,0.9432729602435747,32.929401965714284,-32.929401965714284
US-Bo1,40.0062,-88.2904,Corrected,0.9095578005025895,22.603741940758415,-22.603741940758415
US-Bkg,44.34529,-96.83617,Uncorrected,0.9680850795512342,33.48192733025695,-33.48192733025695
US-Bkg,44.34529,-96.83617,Corrected,0.9719095234498846,22.170702267201584,-22.170702267201584
US-OF2,35.7406,-90.0489,Uncorrected,0.9999999999999998,21.444822153964765,-21.444822153964765
US-OF2,35.7406,-90.0489,Corrected,1.0,3.5551785612909725,3.5551785612909725
